sys userno topicid top5 top10 inum
vse 27 40048 -1 1.0 0
vse 27 40048 -1 1.0 0
vse 27 40048 -1 1.0 0
vse 27 40048 -1 1.0 0
vse 27 40048 -1 1.0 0
vse 27 40048 -1 1.0 1
vse 22 40021 -1 0.9 0
vse 22 40021 -1 1.0 0
vse 22 40021 -1 1.0 0
vse 22 40021 -1 1.0 0
vse 22 40021 -1 1.0 1
vse 22 40021 -1 1.0 1
vse 22 40021 -1 1.0 1
vse 22 40021 -1 1.0 1
vse 22 40021 -1 1.0 1
vse 22 40021 -1 1.0 1
vse 22 40021 -1 1.0 1
vse 22 40021 -1 1.0 1
vse 22 40021 -1 1.0 1
vsn 22 40009 -1 1.0 0
vsn 22 40009 -1 1.0 0
vsn 22 40009 -1 1.0 1
vsn 22 40009 -1 1.0 1
vsn 22 40009 -1 0.9 1
vsn 22 40009 -1 1.0 1
vse 28 40048 -1 1.0 0
vse 28 40048 -1 1.0 0
vse 28 40048 -1 1.0 0
vse 28 40048 -1 1.0 0
vse 28 40048 -1 1.0 1
vsn 28 40021 -1 1.0 0
vsn 28 40021 -1 1.0 0
vsn 28 40021 -1 1.0 1
vsn 28 40021 -1 1.0 1
vsn 28 40021 -1 1.0 1
vsn 28 40021 -1 1.0 1
vsn 28 40021 -1 1.0 1
vse 29 40009 -1 0.8 0
vse 29 40009 -1 0.8 0
vse 29 40009 -1 0.5 0
vse 29 40009 -1 0.1 0
vse 29 40009 -1 0.3 0
vse 29 40009 -1 0.1 1
vse 29 40009 -1 0.0 1
vse 29 40009 -1 0.2 1
vse 29 40009 -1 0.1 1
vsn 29 40048 -1 1.0 0
vsn 29 40048 -1 1.0 0
vsn 29 40048 -1 1.0 1
vsn 29 40048 -1 1.0 1
vsn 29 40048 -1 1.0 1
vsn 29 40048 -1 1.0 1
vsn 29 40048 -1 0.0 1
vsb 29 40021 -1 1.0 1
vsn 30 40009 -1 0.8 0
vsn 30 40009 -1 1.0 0
vsn 30 40009 -1 0.8 0
vsn 30 40009 -1 0.0 1
vsn 30 40009 -1 0.9 1
vsn 30 40009 -1 0.9 1
vsn 30 40009 -1 0.8 1
vsn 30 40009 -1 0.8 1
vsn 30 40009 -1 0.8 1
vse 30 40021 -1 1.0 0
vse 30 40021 -1 0.2 0
vse 30 40021 -1 0.1 0
vse 30 40021 -1 0.2 0
vse 30 40021 -1 0.2 0
vse 30 40021 -1 0.9 0
vse 30 40021 -1 1.0 0
vse 30 40021 -1 1.0 1
vse 30 40021 -1 1.0 1
vse 30 40021 -1 1.0 1
vse 30 40021 -1 1.0 1
vse 30 40021 -1 1.0 1
vse 32 40048 -1 1.0 0
vse 32 40048 -1 1.0 0
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vse 32 40048 -1 1.0 1
vsn 32 40021 -1 1.0 0
vsn 32 40021 -1 1.0 0
vsn 32 40021 -1 1.0 0
vsn 32 40021 -1 1.0 1
vsn 32 40021 -1 1.0 1
vsn 32 40021 -1 1.0 1
vsn 32 40021 -1 1.0 1
vsn 32 40021 -1 1.0 1
vsn 32 40021 -1 1.0 1
vsn 32 40021 -1 1.0 1
vsn 32 40021 -1 1.0 1
vsn 32 40021 -1 1.0 1
vsn 32 40021 -1 1.0 1
vsn 32 40021 -1 1.0 1
vsn 33 40048 -1 1.0 0
vsn 33 40048 -1 1.0 0
vsn 33 40048 -1 1.0 1
vsn 33 40048 -1 1.0 1
vsn 33 40048 -1 0.1 1
vsn 33 40048 -1 1.0 1
vsn 33 40048 -1 1.0 1
vsn 33 40048 -1 1.0 1
vsb 33 40021 -1 0.8 1
vse 33 40009 -1 1.0 0
vse 33 40009 -1 0.7 0
